流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check,Unnamed: 29,已列印
000684,,20200729,A,陳嘉雯,簡翻,,,,陳嘉雯、林茂廷,2019.0,民營電廠在長期合約中的競爭關係：以台灣和平電廠輸電塔倒塌事件為例,Taiwan Economic Review,TER,,,,,,,,,0,0.0,/volume1/web/DB/000684,/volume1/web/DB/000684/000684_en.pdf,,2020-10-03 00:00:04.440346,1,,
000685,,20200729,A,陳嘉雯,簡翻,,,,胡偉民、陳嘉雯、羅光達,2016.0,結合決定事後影響評估之研究－以事件研究法為例,Fair Trade Quarterly,FTQ,第24卷第4期,1月30日,,,,,,,0,0.0,/volume1/web/DB/000685,/volume1/web/DB/000685/000685_en.pdf,,2020-10-03 00:00:04.438138,1,,
000686,,20200729,A,陳嘉雯,簡翻,,,Chen and Shieh,"Chia-Wen Chen, Shiou Shieh",2016.0,Does Exclusive Dealing Matter? Evidence from Distribution Contract Changes in the U.S. Beer Industry,Journal of Industrial Economics,JEI,64(3),411-435,,,,,,,0,0.0,/volume1/web/DB/000686,/volume1/web/DB/000686/000686_en.pdf,,2020-10-03 00:00:04.440468,1,,
000687,,20200729,A,陳嘉雯,簡翻,,,,陳嘉雯、林茂廷,2016.0,產品特定市場界定以及價格上漲壓力測試：以好樂迪與錢櫃結合案為例,Taipei Economic Inquiry,TEI,第52卷第1期,39-72,,,,,,,0,0.0,/volume1/web/DB/000687,/volume1/web/DB/000687/000687_en.pdf,,2020-10-03 00:00:04.440595,1,,
000688,,20200729,A,陳嘉雯,簡翻,,,,陳嘉雯、胡偉民,2015.0,使用假設性獨占檢定界定市場：以中國大陸新車銷售市場為例,Fair Trade Quarterly,FTQ,第23卷第4期,135-166,,,,,,,0,0.0,/volume1/web/DB/000688,/volume1/web/DB/000688/000688_en.pdf,,2020-10-03 00:00:04.440722,1,,
000689,,20200729,A,陳嘉雯,簡翻,,,Chen,Chia-Wen Chen,2014.0,Estimating the foreclosure effect of exclusive dealing: Evidence from the entry of specialty beer producer,International Journal of Industrial Organization,IJIO,37,47-64,,,,,,,0,0.0,/volume1/web/DB/000689,/volume1/web/DB/000689/000689_en.pdf,,2020-10-03 00:00:04.440844,1,,
000690,,20200729,A,陳恭平,簡翻,,,"Chen, Lai and Yu","Kong-Pin Chen, Hung-pin Lai, Ya-Ting Yu",2018.0,The Seller’s Listing Strategy in Online Auctions: Evidence from eBay,International Journal of Industrial Organization,IJIO,56,107-144,,,,,,,0,0.0,/volume1/web/DB/000690,/volume1/web/DB/000690/000690_en.pdf,,2020-10-03 00:00:04.440969,1,,
000691,,20200729,A,陳恭平,簡翻,,,,黃國昌、林常青、陳恭平,2017.0,台灣人民對法院的信任支持及觀感：以對法官判決之公正性為中心,Taiwanese Political Science Review,TPSR,第21卷第1期,51-112,,,,,,,0,0.0,/volume1/web/DB/000691,/volume1/web/DB/000691/000691_en.pdf,,2020-10-03 00:00:04.441096,1,,
000692,,20200729,A,陳恭平,簡翻,,,"Chen, Ho, Liu and Wang","Kong-Pin Chen, Szu-Hsien Ho, Chi-Hsiang Liu, Chien-Ming Wang",2017.0,The Optimal Listing Strategies in Online Auctions,International Economic Review,IER,58(2),421-437,,,,,,,0,0.0,/volume1/web/DB/000692,/volume1/web/DB/000692/000692_en.pdf,,2020-10-03 00:00:04.441227,1,,
000693,,20200729,A,陳恭平,簡翻,,,Chen and Chu,"Kong-Pin Chen, C.Y. Cyrus Chu",2017.0,Internal Control versus External Manipulation: A Model of Corporate Income Tax Evasion,International Library of Critical Writings in Economics 334: The Economics of Tax Avoidance and Evasion,,,,,,,,,,0,0.0,/volume1/web/DB/000693,/volume1/web/DB/000693/000693_en.pdf,,2020-10-03 00:00:04.441349,1,,
000694,,20200729,A,陳恭平,簡翻,,,,林常青、黃國昌、陳恭平、游雅婷,2016.0,2011 年台灣人民法律紛爭面訪：設計及基本統計,Survey Research — Method and Application,SR,第36期,87-123,,,,,,,0,0.0,/volume1/web/DB/000694,/volume1/web/DB/000694/000694_en.pdf,,2020-10-03 00:00:04.441598,1,,
000695,,20200729,A,陳恭平,簡翻,,,,張永健、陳恭平、劉育昇,2016.0,無權占有他人土地與相當於租金之不當得利─實證研究與政策建議,Chengchi Law Review,CLR,第144期,81-153,,,,,,,0,0.0,/volume1/web/DB/000695,/volume1/web/DB/000695/000695_en.pdf,,2020-10-03 00:00:04.441724,1,,
000696,,20200729,A,陳恭平,簡翻,,,,林常青、陳恭平、黃國昌、賴宏彬,2015.0,臺灣人民常見的法律紛爭類型及解決：城鄉差異、人口及社經特性,Taiwanese Journal of Sociology,TJS,第58期,157-190,,,,,,,0,0.0,/volume1/web/DB/000696,/volume1/web/DB/000696/000696_en.pdf,,2020-10-03 00:00:04.441849,1,,
000697,,20200729,A,陳恭平,簡翻,,,Chen and Tsai,"Kong-Pin Chen, Tsung-Sheng Tsai",2015.0,Judicial Torture as a Screening Device,B.E. Journal of Theoretical Economics,BEJTE,15(2),277-312,,,,,,,0,0.0,/volume1/web/DB/000697,/volume1/web/DB/000697/000697_en.pdf,,2020-10-03 00:00:04.441978,1,,
000698,,20200729,A,陳恭平,簡翻,,,"Chen, Huang and Lin","Kong-Pin Chen, Kuo-Chang Huang and Chang-Ching Lin",2015.0,Party Capability versus Court Preference: Why do the “Haves” Come Out Ahead?- An Empirical Lesson from the Taiwan Supreme Court,"Journal of Law, Economics and Organization",JLEO,31(1),93-126,,,,,,,0,0.0,/volume1/web/DB/000698,/volume1/web/DB/000698/000698_en.pdf,,2020-10-03 00:00:04.442102,1,,
000699,,20200729,A,陳恭平,簡翻,,,"Huang, Lin and Chen","Kuo-Chang Huang, Chang-Ching Lin, Kong-Pin Chen",2014.0,Do Rich and Poor Behave Similarly in Seeking Legal Advice? Lessons from Taiwan in Comparative Perspective,Law and Society Review,,48(1),193-223,,,,,,,0,0.0,/volume1/web/DB/000699,/volume1/web/DB/000699/000699_en.pdf,,2020-10-03 00:00:04.442235,1,,
000700,,20200729,A,陳恭平,簡翻,,,"Chen, Lai and Yu","Kong Pin Chen, Hung-pin Lai, Ya-Ting Yu",2014.0,Do Consumers Discount Parallel Imports?,Asia-Pacific Journal of Accounting and Economics,,21(1),58-77,,,,,2020-08-03 00:00:00,2020-08-11 00:00:00,1,1.0,/volume1/web/DB/000700,/volume1/web/DB/000700/000700_en.pdf,/volume1/web/DB/rp_Chen_Lai_Yu2014_AJA_inChinese_20200811_fcn.pdf,2020-10-03 00:00:04.442558,1,,
000701,,20200729,A,陳恭平,簡翻,,,"Chen, Chen, Chou and Huang","Jong- Rong Chen, Kong-Pin Chen, Chien-Fu Chou and Ching-I Huang",2013.0,A Dynamic Model of Auctions with Buy-It-Now: Theory and Evidence,Journal of Industrial Economics,JIE,61(2),393-429,,,,,,,0,0.0,/volume1/web/DB/000701,/volume1/web/DB/000701/000701_en.pdf,,2020-10-03 00:00:04.442699,1,,
000702,,20200729,A,陳恭平,簡翻,,,Chen and Huang,"Kong-Pin Chen, Yen-Chi Huang and Chi-Hsiang Liu",2013.0,Market Competition and the Internal Structure of Firms,Taiwan Economic Review,TER,41(1),49-75,,,,,,,0,0.0,/volume1/web/DB/000702,/volume1/web/DB/000702/000702_en.pdf,,2020-10-03 00:00:04.442823,1,,
000703,,20200729,A,陳恭平,簡翻,,,Chen and Huang,"Kong-Pin Chen, Yen-Chi Huang",2012.0,A Search-Matching Model of Buyer-Seller Platforms,CESifo Economic Studies,CESifo,58(4),626-649,,,,,,,0,0.0,/volume1/web/DB/000703,/volume1/web/DB/000703/000703_en.pdf,,2020-10-03 00:00:04.442946,1,,
000704,,20200729,A,陳恭平,簡翻,,,,林常青、黃國昌、陳恭平,2012.0,法學方法與實證研究（五）：關聯性與迴歸（下）,Taiwan Law Journal,TLJ,第207期,102-113,,,,,,,0,0.0,,,,,0,,
000705,,20200729,A,陳恭平,簡翻,,,,林常青、黃國昌、陳恭平,2012.0,法學方法與實證研究（四）：關聯性與迴歸（中）,Taiwan Law Journal,TLJ,第199期,73-84,,,,,,,0,0.0,,,,,0,,
000706,,20200729,A,陳恭平,簡翻,,,,林常青、黃國昌、陳恭平,2012.0,法學方法與實證研究（三）：關聯性與迴歸（上）,Taiwan Law Journal,TLJ,第191期,66-79,,,,,,,0,0.0,,,,,0,,
000707,,20200729,A,陳恭平,簡翻,,,,林常青、黃國昌、陳恭平,2011.0,法學方法與實證研究（二）：資訊、變項及關聯性（下）,Taiwan Law Journal,TLJ,第187期,109-118,,,,,,,0,0.0,,,,,0,,
000708,,20200729,A,陳恭平,簡翻,,,,黃國昌、林常青、陳恭平,2011.0,法學方法與實證研究（一）：資訊、變項及關聯性（上）,Taiwan Law Journal,TLJ,第183期,127-141,,,,,,,0,0.0,,,,,0,,
000709,,20200729,A,陳恭平,簡翻,,,,陳恭平、黃國昌、林常青,2011.0,台灣人民對於國民參與審判之態度──以2011年《紛爭解決行為實證研究》預試調查結果為基礎,Taiwan Law Journal,TLJ,第177期,15-27,,,,,,,0,0.0,,,,,0,,
000710,,20200729,A,陳恭平,簡翻,,,"Huang, Chen and Lin","Kuo-Chang Huang*, Kong-Pin Chen, Chang-Ching Lin",2010.0,An Empirical Investigation of Settlement and Litigation--The Case of Taiwanese Labor Disputes,Journal of Empirical Legal Studies,,7(4),786-810,,,,,,,0,0.0,/volume1/web/DB/000710,/volume1/web/DB/000710/000710_en.pdf,,2020-10-03 00:00:04.441472,1,,
000711,,20200729,A,陳恭平,簡翻,,,,黃國昌、林常青、陳恭平,2010.0,勞資爭議協調程序之實證研究─以「政府協調」與「民間協調」之比較為中心,,,第7期,209-267,,,,,,,0,0.0,/volume1/web/DB/000711,/volume1/web/DB/000711/000711_en.pdf,,2020-10-03 00:00:04.443762,1,,
000712,,20200729,A,陳恭平,簡翻,,,,陳恭平、謝長江,2010.0,數位音樂市場：以iPod及iTune為例,,TER,第38卷第3期,355-386,,,,,,,0,0.0,/volume1/web/DB/000712,/volume1/web/DB/000712/000712_en.pdf,,2020-10-03 00:00:04.443889,1,,
000713,,20200729,A,陳恭平,簡翻,,,"Huang, Chen and Lin","Kuo-Chang Huang, Kong-Pin Chen, Chang-Ching Lin",2010.0,Does the Type of Criminal Defense Counsel Affect Case Outcomes?: A Natural Experiment in Taiwan,International Review of Law and Economics,,30(2),113-127,,,,,,,0,0.0,/volume1/web/DB/000713,/volume1/web/DB/000713/000713_en.pdf,,2020-10-03 00:00:04.444022,1,,
000714,,20200729,A,陳恭平,簡翻,,,Chen and Wang,"Kong-Pin Chen, Jue-Shyan Wang",2007.0,Fee-Shifting Rules in Litigation with Contingency Fees,"Journal of Law, Economics and Organization",JLEO,23(3),519-546,,,,,,,0,0.0,/volume1/web/DB/000714,/volume1/web/DB/000714/000714_en.pdf,,2020-10-03 00:00:04.444147,1,,
000715,,20200729,A,陳恭平,簡翻,,,Chen and Tsai,"Kong-Pin Chen, Tsung-Sheng Tsai",2007.0,Optimal Contracts for Ambitious Team Workers,Academia Economic Papers,,35(3),291-313,,,,,,,0,0.0,/volume1/web/DB/000715,/volume1/web/DB/000715/000715_en.pdf,,2020-10-03 00:00:04.444280,1,,
000716,,20200729,A,陳恭平,簡翻,,,,王智賢、黃志維、陳恭平,2005.0,開放原始碼下的價格與品質競爭,,,第33卷第2期,115-147,,,,,,,0,0.0,/volume1/web/DB/000716,/volume1/web/DB/000716/000716_en.pdf,,2020-10-03 00:00:04.444406,1,,
000717,,20200729,A,陳恭平,簡翻,,,Chen and Niou,"Kong-Pin Chen, Emerson M. S. Niou",2005.0,Term-Limit Legislation as Response to Incumbency Advantage,The Journal of Politics,,67(2),390-406,,,,,,,0,0.0,/volume1/web/DB/000717,/volume1/web/DB/000717/000717_en.pdf,,2020-10-03 00:00:04.444528,1,,
000718,,20200729,A,陳恭平,簡翻,,,Chen and Chu,"Kong-Pin Chen, C. Y. Cyrus Chu",2005.0,Internal Control vs. External Manipulation: A Model of Corporate Income Tax Evasion,Rand Journal of Economics,,36(1),151-164,,,,,,,0,0.0,/volume1/web/DB/000718,/volume1/web/DB/000718/000718_en.pdf,,2020-10-03 00:00:04.444652,1,,
000719,,20200729,A,陳恭平,簡翻,,,Chen,Kong-Pin Chen,2005.0,External Recruitment as an Incentive Device,Journal of Labor Economics,,23(2),256-277,,,,,,,0,0.0,/volume1/web/DB/000719,/volume1/web/DB/000719/000719_en.pdf,,2020-10-03 00:00:04.444773,1,,
000720,AER2020,20200731,A,賴孚權,,,,Garriga and Hedlund,Carlos Garriga and Aaron Hedlund,2020.0,"Mortgage Debt, Consumption, and Illiquid Housing Markets in the Great Recession",American Economic Review,AER,110(6),1603-34,,,,,,,0,0.0,/volume1/web/DB/000720,/volume1/web/DB/000720/000720_en.pdf,,2020-10-03 00:00:04.444900,1,,
000721,,20200729,A,陳恭平,簡翻,,,"Chen, Qin and Qiu","Kong-Pin Chen, Cheng-Zhong Qin, Larry D. Qiu .",2004.0,The Value of Multilateral Trade Liberalization and the Need for Third-Party Sanction,Political Economy in Global World,,,,,,,,,,0,0.0,/volume1/web/DB/000721,/volume1/web/DB/000721/000721_en.pdf,,2020-10-03 00:00:04.443627,1,,
000722,,20200729,A,陳恭平,簡翻,,,"Chen, Chaing and Leung ","Kong-Pin Chen, Shin-Hwan Chiang, Siu Fai Leung",2003.0,"Migration, Family, and Risk Diversification",Journal of Labor Economics,JLE,21(2),353-380,,,,,,,0,0.0,/volume1/web/DB/000722,/volume1/web/DB/000722/000722_en.pdf,,2020-10-03 00:00:04.445159,1,,
000723,,20200729,A,陳恭平,簡翻,,,Chen,Kong-Pin Chen,2003.0,Sabotage in Promotion Tournaments,"Journal of Law, Economics and Organization",JLEO,19(1),119-140,,,,,,,0,0.0,/volume1/web/DB/000723,/volume1/web/DB/000723/000723_en.pdf,,2020-10-03 00:00:04.445293,1,,
000724,,20200729,A,陳恭平,簡翻,,,Chen and Yang,"Kong-Ping Chen, Sheng-Zhang Yang",2002.0,Strategic Voting in Open Primaries,Public Choice,,112,1月30日,,,,,2020-09-02 00:00:00,2020-09-02 00:00:00,1,1.0,/volume1/web/DB/000724,/volume1/web/DB/000724/000724_en.pdf,/volume1/web/DB/Chen_Yang2002_PC_inChinese_20200902_fcn.pdf,2020-10-03 00:00:04.445517,1,,
000725,,20200729,A,陳恭平,簡翻,,,,"古慧雯, 陳恭平",1998.0,集中式拍賣與分散式拍賣,Taiwan Economic Review,TER,第26卷第2期,193-208,,,,,,,0,0.0,/volume1/web/DB/000725,/volume1/web/DB/000725/000725_en.pdf,,2020-10-03 00:00:04.445650,1,,
000726,,20200729,A,陳恭平,簡翻,,,"Fan, Chen and Kan","Chinn-Ping Fan, Kong-Pin Chen, Kamhon Kan",1998.0,The Design of Payment System for Physicians under Global Budget-An Experimental Study,Journal of Economic Behavior and Organization,,34,295-311,,,,,,,0,0.0,/volume1/web/DB/000726,/volume1/web/DB/000726/000726_en.pdf,,2020-10-03 00:00:04.445774,1,,
000727,,20200729,A,陳恭平,簡翻,,,,"陳恭平, 王智賢",1997.0,保障善意第三者的重複賽局均衡,Taiwan Economic Review,TER,第25卷第3期,293-307,,,,,,,0,0.0,/volume1/web/DB/000727,/volume1/web/DB/000727/000727_en.pdf,,2020-10-03 00:00:04.445899,1,,
000728,,20200729,A,陳恭平,簡翻,,,"Chen, Chien and Chu","Kong-Pin Chen, Hung-Ken Chien, C. Y. Cyrus Chu",1997.0,Sequential vs. Unitary Trials with Asymmetric Information,Journal of Legal Studies,JLS,26,239-258,,,,,,,0,0.0,/volume1/web/DB/000728,/volume1/web/DB/000728/000728_en.pdf,,2020-10-03 00:00:04.446020,1,,
000729,,20200729,A,陳恭平,簡翻,,,Chen,Kong-Pin Chen,1996.0,Compensation Principle in Repeated Games,Games and Economic Behavior,GEB,16,1月21日,,,,,,,0,0.0,/volume1/web/DB/000729,/volume1/web/DB/000729/000729_en.pdf,,2020-10-03 00:00:04.446146,1,,
000730,,20200729,A,陳恭平,簡翻,,,Chen,Kong-Pin Chen,1995.0,Renegotiation-Proof Equilibrium Under Imperfect Monitoring,Journal of Economic Theory,JET,65,600-610,,,,,,,0,0.0,/volume1/web/DB/000730,/volume1/web/DB/000730/000730_en.pdf,,2020-10-03 00:00:04.446279,1,,
000731,,20200729,A,陳恭平,簡翻,,,,"陳恭平, 朱敬一",1994.0,台灣的資產炒作,Journal of Social Sciences and Philosophy,JSSP,6,79-98,,,,,,,0,0.0,/volume1/web/DB/000731,/volume1/web/DB/000731/000731_en.pdf,,2020-10-03 00:00:04.446400,1,,
000732,,20200729,A,陳恭平,簡翻,,,,陳恭平,1994.0,不完全訊息下防止再協商的均衡,產業結構與公平交易法,,,,,,,,,,0,0.0,/volume1/web/DB/000732,/volume1/web/DB/000732/000732_en.pdf,,2020-10-03 00:00:04.445035,1,,
000733,,20200729,A,陳為政,簡翻,,,"Chen, Chen and Kao","Chen, Wei-Cheng, Yi-Yi Chen, and Yi-Cheng Kao",2018.0,Limited choice in college admissions: An experimental study,Games and Economic Behavior,GEB,108,295-316,,,,,,,0,0.0,/volume1/web/DB/000733,/volume1/web/DB/000733/000733_en.pdf,,2020-10-03 00:00:04.446642,1,,
000734,,20200729,A,陳為政,簡翻,,,Chen and Kao,"Wei-Cheng Chen, Yi-Cheng Kao",2014.0,Simultaneous Screening and College Admissions,Economics Letters,EL,122(2),296-298,,,,,2020-08-26 00:00:00,2020-08-26 00:00:00,1,1.0,/volume1/web/DB/000734,/volume1/web/DB/000734/000734_en.pdf,/volume1/web/DB/Chen_Kao2014_EL_inChinese_20200826_fcn.pdf,2020-10-03 00:00:04.446861,1,,
000735,AER2020,20200731,A,賴孚權,,,,"Favilukis, Lin and Zhao","Jack Favilukis, Xiaoji Lin and Xiaofei Zhao",2020.0,The Elephant in the Room: The Impact of Labor Obligations on Credit Markets,American Economic Review,AER,110(6),1673-1712,,,,,,,0,0.0,/volume1/web/DB/000735,/volume1/web/DB/000735/000735_en.pdf,,2020-10-03 00:00:04.446990,1,,
000736,,20200729,A,賴宏彬,簡翻,,,Lai and Kumbhakar,"Lai, Hung-pin and Subal C. Kumbhakar",2019.0,Estimation of a Dynamic Stochastic Frontier Model using Likelihood-based Approaches,Journal of Applied Econometrics,JAE,,,,,,,,,0,0.0,/volume1/web/DB/000736,/volume1/web/DB/000736/000736_en.pdf,,2020-10-03 00:00:04.447114,1,,
000737,,20200729,A,賴宏彬,簡翻,,,Lai and Kumbhakar,"Lai, Hung-pin and Subal C. Kumbhakar",2019.0,Technical and Allocative Efficiency in a Panel Stochastic Production Frontier System Model,European Journal of Operational Research,EJOR,278(1),255-265,,,,,,,0,0.0,/volume1/web/DB/000737,/volume1/web/DB/000737/000737_en.pdf,,2020-10-03 00:00:04.447245,1,,
000738,,20200729,A,賴宏彬,簡翻,,,Lai and Tang,"Lai, Hung-pin and Meng-Chi Tang",2018.0,Hospital Efficiency under Global Budgeting: Evidence from Taiwan,Empirical Economics,EE,55(3),937-963,,,,,,,0,0.0,/volume1/web/DB/000738,/volume1/web/DB/000738/000738_en.pdf,,2020-10-03 00:00:04.447367,1,,
000739,,20200729,A,賴宏彬,簡翻,,,"Lai, Huang and Fu","Lai, Hung-pin, Huang, Cliff J., Tsu-Tan Fu",2018.0,Estimation of the Production Profile and Metafrontier Technology Gap: A Quantile Approach,Empirical Economics,EE,,,,,,,,,0,0.0,/volume1/web/DB/000739,/volume1/web/DB/000739/000739_en.pdf,,2020-10-03 00:00:04.447490,1,,
000740,,20200729,A,賴宏彬,簡翻,,,Lai and Tsay,"Lai, Hung-pin and Wen-Jen Tsay",2018.0,Maximum Simulated Likelihood Estimation of the Panel Sample Selection Model,Econometric Reviews,ER,,744-759,,,,,2020-09-24 00:00:00,2020-09-24 00:00:00,0,1.0,/volume1/web/DB/000740,/volume1/web/DB/000740/000740_en.pdf,/volume1/web/DB/Lai_Tsay2018_ER_inChinese_20200924_pcn.pdf,2020-10-03 00:00:04.447689,1,,
000741,,20200730,B,賴孚權,簡翻,,,"Ashraf, Bau, Nunn, and Voena","Nava Ashraf, Natalie Bau, Nathan Nunn, and Alessandra Voena",2020.0,Bride Price and Female Education,Journal of Political Economy,JER,128(2),591-641,,,,,,,0,0.0,/volume1/web/DB/000741,/volume1/web/DB/000741/000741_en.pdf,,2020-10-03 00:00:04.497529,1,,
000742,,20200729,A,賴宏彬,簡翻,,,Lai and Kumbhakar,"Lai, Hung-pin and Subal C. Kumbhakar",2018.0,Endogeneity in Panel Data Stochastic Frontier Model with Determinants of Persistent and Transient Inefficiency,Economics Letters,EL,162,1-182,,,,,,,0,0.0,/volume1/web/DB/000742,/volume1/web/DB/000742/000742_en.pdf,,2020-10-03 00:00:04.447819,1,,
000743,,20200729,A,賴宏彬,簡翻,,,Lai and Kumbhakar,"Lai, Hung-pin and Subal C. Kumbhakar",2018.0,Panel Data Stochastic Frontier Model with Determinants of Persistent and Transient Inefficiency,European Journal of Operational Research,EJOR,271(2),746-755,,,,,,,0,0.0,/volume1/web/DB/000743,/volume1/web/DB/000743/000743_en.pdf,,2020-10-03 00:00:04.447942,1,,
000744,,20200729,A,賴宏彬,簡翻,,,Huang and Lai,"Huang, Cliff J., and Hung?pin Lai",2017.0,A Note on the Likelihood Ratio Test on the Equality of Group Frontiers,Economics Letters,EL,52(1),5月8日,,,,,,,0,0.0,/volume1/web/DB/000744,/volume1/web/DB/000744/000744_en.pdf,,2020-10-03 00:00:04.448064,1,,
000745,,20200729,A,賴宏彬,簡翻,,,"Huang, Fu, Lai, Yang","Huang, Cliff J., Tsu-Tan Fu, Hung-pin Lai and Yung-Lieh Yang",2017.0,Semiparametric Smooth Coefficient Quantile Estimation of the Production Profile,Empirical Economics,EE,52(1),373-392,,,,,,,0,0.0,/volume1/web/DB/000745,/volume1/web/DB/000745/000745_en.pdf,,2020-10-03 00:00:04.446521,1,,
000746,,20200729,A,賴宏彬,簡翻,,,Kumbhakar and Lai,"Kumbhakar, Subal C. and Hung-pin Lai",2016.0,Maximum Likelihood Estimation of the Revenue Function System with Output-Specific Technical Efficiency,Economics Letters,EL,138(1),42-45,,,,,,,0,0.0,/volume1/web/DB/000746,/volume1/web/DB/000746/000746_en.pdf,,2020-10-03 00:00:04.448293,1,,
000747,,20200730,B,賴孚權,簡翻,,,"Calsamiglia, Fu, and G?ell","Caterina Calsamiglia, Chao Fu, and Maia G?ell",2020.0,Structural Estimation of a Model of School Choices The Boston Mechanism versus Its Alternatives,Journal of Political Economy,JPE,128(2),642-680,,,,,,,0,0.0,/volume1/web/DB/000747,/volume1/web/DB/000747/000747_en.pdf,,2020-10-03 00:00:04.497657,1,,
000748,,20200729,A,賴宏彬,簡翻,,,Lai,"Lai, Hung-pin",2015.0,Maximum Likelihood Estimation of the Stochastic Frontier Model with Endogenous Switching or Sample Selection,Journal of Productivity Analysis,JPA,43(1),105-111,,,,,2020-09-24 00:00:00,2020-09-24 00:00:00,0,1.0,/volume1/web/DB/000748,/volume1/web/DB/000748/000748_en.pdf,/volume1/web/DB/Lai2015_JPA_inChinese_20200924_pcn.pdf,2020-10-03 00:00:04.448492,1,,
000749,,20200730,B,賴孚權,簡翻,,,"Epple, Quintero, and Sieg","Dennis Epple, Luis Quintero, and Holger Sieg",2020.0,A New Approach to Estimating Equilibrium Models for Metropolitan Housing Markets,Journal of Political Economy,JPE,128(3),948-983,,,,,,,0,0.0,/volume1/web/DB/000749,/volume1/web/DB/000749/000749_en.pdf,,2020-10-03 00:00:04.497782,1,,
000750,,20200729,A,黃景沂,簡翻,,,,黃景沂,2019.0,Spatial Competition of the Bank Branch Networks in Taiwan,Taiwan Economic Review,TER,,,,,,,2020-08-18 00:00:00,2020-09-22 00:00:00,1,1.0,/volume1/web/DB/000750,/volume1/web/DB/000750/000750_en.pdf,/volume1/web/DB/rp_Huang2019_TER_inChinese_20200922_fcn.pdf,2020-10-03 00:00:04.448807,1,,
000751,AER2020,20200731,A,賴孚權,,,,"Bertrand, Bombardini, Fisman and Trebbi","Marianne Bertrand, Matilde Bombardini, Raymond Fisman and Francesco Trebbi",2020.0,Tax-Exempt Lobbying: Corporate Philanthropy as a Tool for Political Influence,American Economic Review,AER,110(7),2065-2102,,,,,,,0,0.0,/volume1/web/DB/000751,/volume1/web/DB/000751/000751_en.pdf,,2020-10-03 00:00:04.448938,1,,
000752,,20200729,A,黃國昌,簡翻,,,Huang and Lin,Kuo-Chang Huang* & Chang-Ching Lin,2014.0,Mock Jury Trials in Taiwan--Paving theGround for Introducing Lay Participation,Law and Human Behavior,LHB,38(4),367-377,,,,,,,0,0.0,,,,,0,,
000753,,20200730,B,賴孚權,簡翻,,,"Sweeting, Roberts, and Gedge","Andrew Sweeting, James W. Roberts, and Chris Gedge",2020.0,A Model of Dynamic Limit Pricing with an Application to the Airline Industry,Journal of Political Economy,JPE,128(3),1148-1193,,,,,,,0,0.0,/volume1/web/DB/000753,/volume1/web/DB/000753/000753_en.pdf,,2020-10-03 00:00:04.497904,1,,
000754,,20200729,A,黃國昌,簡翻,,,,黃國昌,2013.0,家事事件之專屬管轄屬性及違反效果──以請求酌給遺產事件為例,月旦法學教室,,第132期,24-26,,,,,,,0,0.0,,,,,0,,
000755,,20200729,A,黃國昌,簡翻,,,Huang and Lin,"Kuo-Chang Huang*, Chang-Ching Lin",2013.0,Rescuing Confidence in the Judicial System: Introducing Lay Participation in Taiwan,JOURNAL OF EMPIRICAL LEGAL STUDIES,,10(3),542-569,,,,,2020-09-24 00:00:00,2020-09-24 00:00:00,0,1.0,/volume1/web/DB/000755,/volume1/web/DB/000755/000755_en.pdf,/volume1/web/DB/Huang_Lin2013_JELS_inChinese_20200924_pcn.pdf,2020-10-03 00:00:04.449327,1,,
000756,,20200729,A,黃國昌,簡翻,,,,黃國昌,2013.0,跨傳媒併購之法律規範與挑戰─以旺中併購案為例,傳播研究與實踐,,3(2),65-85,,,,,,,0,0.0,/volume1/web/DB/000756,/volume1/web/DB/000756/000756_en.pdf,,2020-10-03 00:00:04.449460,1,,
000757,,20200729,A,黃國昌,簡翻,,,,黃國昌,2013.0,債權人得否代位債務人提起再審之訴？,月旦法學教室,,第128期,24-26,,,,,,,0,0.0,,,,,0,,
000758,,20200729,A,黃國昌,簡翻,,,,黃國昌,2013.0,準「裁量移送制」之邁進－最高法院102年度台抗字第67號裁定評釋,臺灣本土法學雜誌社,,第225期,70-78,,,,,,,0,0.0,,,,,0,,
000759,,20200729,A,黃國昌,簡翻,,,Huang,Kuo-Chang Huang,2013.0,The Effect of Stakes on Settlement--An Empirical Lesson from Taiwan,RESEARCH HANDBOOKS IN COMPARATIVE LAW AND ECONOMICS,,,,,,,,,,0,0.0,,,,,0,,
000760,,20200729,A,黃國昌,簡翻,,,Huang,Kuo-Chang Huang,2013.0,Using Associations as a Vehicle for Class Action—The Case of Taiwan,CLASS ACTION IN CONTEXT,,,,,,,,,,0,0.0,,,,,0,,
000761,,20200729,A,黃國昌,簡翻,,,,黃國昌,2013.0,智慧財產案件審理程序之營業秘密保護──以「秘密保持命令」新制的運作為中心──,許志雄教授六秩華誕祝賀論文集─立憲國家之課題與挑戰,,,,,,,,,,0,0.0,,,,,0,,
000762,,20200729,A,黃國昌,簡翻,,,,黃國昌,2013.0,仲裁人之迴避與仲裁判斷之撤銷──以一個令最高法院躊躇反覆的案件為楔──,撤銷仲裁判斷之司法實踐評析,,,,,,,,,,0,0.0,,,,,0,,
