流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000216,AER2018,20191015,,,,"Hortaçsu, Kastl and Zhang","Ali Hortaçsu, Jakub Kastl and Allen Zhang",2018,Bid Shading and Bidder Surplus in the US Treasury Auction System,American Economic Review,AER,108(1),147-169,,"D44, E63, H63",,"Hortaçsu, Kastl and Zhang (2018)_Bid Shading and Bidder Surplus_AER 108(1), 147-169",,,0,1.0,,,,,0
000217,AER2018,20191015,,賴孚權陳為政,,Hvide and Jones,Hans K. Hvide and Benjamin F. Jones,2018,University Innovation and the Professor's Privilege,American Economic Review,AER,108(7),1860-1898,,"I23, L26, M13, O31, O33, O34",,"Hvide and Jones (2018)_University Innovation and the Professor's Privilege_AER 108(7), 1860-1898",,,0,1.0,,,,,0
000218,AER2018,20191015,,,,Jensen and Miller,Robert Jensen and Nolan H. Miller,2018,"Market Integration, Demand, and the Growth of Firms: Evidence From a Natural Experiment in India",American Economic Review,AER,108(12),3583-3625,,"D22, D83, L15, L25, L62, O12, O14",,"Jensen and Miller (2018)_Market Integration, Demand, and the Growth of Firms_AER 108(12), 3583-3625",,,0,1.0,,,,,0
000219,AER2018,20191015,,,,Kuziemko and Washington,Ilyana Kuziemko and Ebonya Washington,2018,Why Did the Democrats Lose the South? Bringing New Data to an Old Debate,American Economic Review,AER,108(10),2830-2867,,"D72, J15, N42",,"Kuziemko and Washington (2018)_Why Did the Democrats Lose the South_AER 108(10), 2830-2867",,,0,1.0,,,,,0
000220,AER2018,20191015,,,,Lovo and Spaenjers,Stefano Lovo and Christophe Spaenjers,2018,A Model of Trading in the Art Market,American Economic Review,AER,108(3),744-774,,"C43, D44, E32, Z11",,"Lovo and Spaenjers (2018)_A Model of Trading in the Art Market_AER 108(3), 744-774",,,0,1.0,,,,,0
000221,AER2018,20191015,,賴孚權陳為政,,"Monte, Redding and Rossi-Hansberg","Ferdinando Monte, Stephen J. Redding and Esteban Rossi-Hansberg",2018,"Commuting, Migration, and Local Employment Elasticities",American Economic Review,AER,108(12),3855-3890,,"J23, J61, R23, R32, R41",,"Monte, Redding and Rossi-Hansberg (2018)_Commuting, Migration, and Local Employment_AER 108(12), 3855-3890",,,0,1.0,,,,,0
000222,AER2018,20191015,,賴孚權陳為政,,Nguyen and Vohra,ThÀnh Nguyen and Rakesh Vohra,2018,Near-Feasible Stable Matchings with Couples,American Economic Review,AER,108(11),3154-3169,,"C78, D47, I11, J41, J44",,"Nguyen and Vohra (2018)_Near-Feasible Stable Matchings with Couples_AER 108(11), 3154-3169",,,0,1.0,,,,,0
000223,AER2018,20191015,,,comment,Okamoto,Noriaki Okamoto,2018,An Efficient Ascending-Bid Auction for Multiple Objects: Comment,American Economic Review,AER,108(2),555-560,,D44,,"Okamoto (2018)_An Efficient Ascending-Bid Auction for Multiple Objects_AER 108(2), 555-560",,,0,1.0,,,,,0
000224,AER2018,20191015,,,,Plantin and Tirole,Guillaume Plantin and Jean Tirole,2018,Marking to Market versus Taking to Market,American Economic Review,AER,108(8),2246-2276,,"D21, D82, G34, G38, M41, M48",,"Plantin and Tirole (2018)_Marking to Market versus Taking to Market_AER 108(8), 2246-2276",,,0,1.0,,,,,0
000225,AER2018,20191015,,,,Pons,Vincent Pons,2018,Will a Five-Minute Discussion Change Your Mind? A Countrywide Experiment on Voter Choice in France,American Economic Review,AER,108(6),1322-1363,,"C93, D7, D83",,"Pons (2018)_Will a Five-Minute Discussion Change Your Mind_AER 108(6), 1322-1363",,,0,1.0,,,,,0
000226,AER2018,20191015,,,,"Qin, Strömberg and Wu","Bei Qin, David Strömberg and Yanhui Wu",2018,Media Bias in China,American Economic Review,AER,108(9),2442-2476,,"D72, L31, L82, O14, O17, P26, P31",,"Qin, Strömberg and Wu (2018)_Media Bias in China_AER 108(9), 2442-2476",,,0,1.0,,,,,0
000227,AER2018,20191015,,,要全翻 ⓡ Indicates that the authors are in random order.,Ray ⓡ Robson,Debraj Ray ⓡ Arthur Robson,2018,Certified Random: A New Order for Coauthorship,American Economic Review,AER,108(2),489-520,,"A14, Z13",,"Ray and Robson (2018)_Certified Random_AER 108(2), 489-520",,,0,1.0,,,,,0
000228,AER2018,20191015,,賴孚權陳為政,,Roth,Alvin E. Roth,2018,"Marketplaces, Markets, and Market Design",American Economic Review,AER,108(7),1609-1658,,"A11, D40, D47, E26, J40, J44",,"Roth (2018)_Marketplaces, Markets, and Market Design_AER 108(7), 1609-1658",,,0,1.0,,,,,0
000229,AER2018,20191015,,,comment,Tan and Wright,Hongru Tan and Julian Wright,2018,A Price Theory of Multi-Sided Platforms: Comment,American Economic Review,AER,108(9),2758-2760,,"D42, D85, L12, L14",,"Tan and Wright (2018)_A Price Theory of Multi-Sided Platforms-Comment_AER 108(9), 2758-2760",,,0,1.0,,,,,0
000230,AER2018,20191015,,,,Thaler,Richard H. Thaler,2018,From Cashews to Nudges: The Evolution of Behavioral Economics,American Economic Review,AER,108(6),1265-1287,,,,"Thaler (2018)_From Cashews to Nudges_AER 108(6), 1265-1287",,,0,1.0,,,,,0
000231,AER2018,20191015,,,,Vieider,Ferdinand M. Vieider,2018,Violence and Risk Preference: Experimental Evidence from Afghanistan: Comment,American Economic Review,AER,108(8),2366-2382,,"C91, D12, D74, D81, O12, O17",,"Vieider (2018)_Violence and Risk Preference_AER 108(8), 2366-2382",,,0,1.0,,,,,0
000232,AER2018,20191015,,,reply,Weyl,E. Glen Weyl,2018,A Price Theory of Multi-Sided Platforms: Reply,American Economic Review,AER,108(9),2761-2762,,"D42, D85, L12, L14",,"Weyl (2018)_A Price Theory of Multi-Sided Platforms-Reply_AER 108(9), 2761-2762",,,0,1.0,,,,,0
000233,AER2018,20191015,,賴孚權陳為政,,Wolitzky,Alexander Wolitzky,2018,Learning from Others' Outcomes,American Economic Review,AER,108(10),2763-2801,,"D81, D83, O32, Q12, Q16",,"Wolitzky (2018)_Learning from Others' Outcomes_AER 108(10), 2763-2801",,,0,1.0,,,,,0
000234,AER2018,20191015,,,,Xu,Guo Xu,2018,The Costs of Patronage: Evidence from the British Empire,American Economic Review,AER,108(11),3170-3198,,"D73, F54, H83, J45, M51, N43, N44",,"Xu (2018)_The Costs of Patronage_AER 108(11), 3170-3198",,,0,1.0,,,,,0
000235,FC 20191015,20191015,,賴孚權,,Chu,C. Y. Cyrus Chu,1991,Primogeniture,Journal of Political Economy,JPE,99(1),78-99,,,,"Chu (1991)_Primogeniture_JPE 99(1), 78-99",,,0,1.0,,,,,0
000236,FC 20191015,20191015,,賴孚權,,"Einav, Knoepfle, Levin and Sundaresan","Liran Einav, Dan Knoepfle, Jonathan Levin and Neel Sundaresan",2014,Sales Taxes and Internet Commerce,American Economic Review,AER,104(1),1-26,,,,"Einav, Knoepfle, Levin and Sundaresan (2014)_Sales Taxes and Internet Commerce_AER 104(1), 1-26",,,0,1.0,,,,,0
000237,FC 20191015,20191015,,賴孚權,,Gentzkow and Shapiro,Matthew Gentzkow and Jesse M. Shapiro,2008,Competition and Truth in the Market for News,Journal of Economic Perspectives,JEPerspectives,22(2),133-154,,,,"Gentzkow and Shapiro (2008)_Competition and Truth in the Market for News_JEPerspectives 22(2), 133-154",,,0,1.0,,,,,0
000238,FC 20191016,20191016,,賴孚權,包含20110826 暑假讀書會筆記,Mullainathan and Shleifer,Sendhil Mullainathan and Andrei Shleifer,2005,The Market for News,American Economic Review,AER,95(4),1031-1053,,"D23, L82",,"Mullainathan and Shleifer (2005)_The Market for News_AER 95(4), 1031-1053",,,0,1.0,,,,,0
000239,FC 20191021,20191021,,,,Großer and Palfrey,Jens Großer and Thomas R. Palfrey,2014,Candidate Entry and Political Polarization: An Antimedian Voter Theorem,American Journal of Political Science,AJPolSci,58(1),127-143,,,,"Großer and Palfrey (2014)_Candidate Entry and Political Polarization_Ame J Polit Sci 58(1), 127-143",,,0,0.0,,,,,0
000240,FC 20191021,20191021,,,,Kamada and Kojima,Yuichiro Kamada and Fuhito Kojima,2014,"Voter Preferences, Polarization, and Electoral Policies",American Economic Journal: Microeconomics,AEJMicro,6(4),203-236,,D72,,"Kamada and Kojima (2014)_Voter Preferences, Polarization, and Electoral Policies_AEJ Micro 6(4), 203-236",,,0,0.0,,,,,0
000241,"AER2016,high citation",20191031,,賴孚權陳為政,,Thaler,Richard H. Thaler,2016,"Behavioral Economics: Past, Present, and Future",American Economic Review,AER,106(7),1577-1600,,,,,,,0,1.0,,,,,0
000242,"AER2016,high citation",20191031,,賴孚權,,"Blundell, Pistaferri and Saporta-Eksten","Richard Blundell, Luigi Pistaferri and Itay Saporta-Eksten",2016,Consumption Inequality and Family Labor Supply,American Economic Review,AER,106(2),387-435,,,,,,,0,1.0,,,,,0
000243,"AER2016,high citation",20191031,,賴孚權陳為政,,Cramer and Krueger,Judd Cramer and Alan B. Krueger,2016,Disruptive Change in the Taxi Business: The Case of Uber,American Economic Review,AER,106(5),177-82,LABOR MARKETS WITH OCCUPATIONAL LICENSING: THEIR ECONOMIC EFFECTS,,,,,,0,1.0,,,,,0
000244,"AER2016,high citation",20191031,,賴孚權,,"Allcott, Collard-Wexler and O'Connell","Hunt Allcott, Allan Collard-Wexler and Stephen D. O'Connell",2016,How Do Electricity Shortages Affect Industry? Evidence from India,American Economic Review,AER,106(3),587-624,,,,,,,0,1.0,,,,,0
000245,"AER2016,high citation",20191031,,賴孚權,,"Hoynes, Schanzenbach and Almond","Hilary Hoynes, Diane Whitmore Schanzenbach and Douglas Almond",2016,Long-Run Impacts of Childhood Access to the Safety Net,American Economic Review,AER,106(4),903-34,,,,,,,0,1.0,,,,,0
000246,"AER2016,high citation",20191031,,賴孚權,,Munshi and Rosenzweig,Kaivan Munshi and Mark Rosenzweig,2016,"Networks and Misallocation: Insurance, Migration, and the Rural-Urban Wage Gap",American Economic Review,AER,106(1),46-98,,,,,,,0,1.0,,,,,0
000247,"AER2016,high citation",20191031,,賴孚權,,"Akcigit, Baslandze and Stantcheva","Ufuk Akcigit, Salomé Baslandze and Stefanie Stantcheva",2016,Taxation and the International Mobility of Inventors,American Economic Review,AER,106(10),2930-81,,,,,,,0,1.0,,,,,0
000248,"AER2016,high citation",20191031,,賴孚權,,Diamond,Rebecca Diamond,2016,The Determinants and Welfare Implications of US Workers' Diverging Location Choices by Skill: 1980-2000,American Economic Review,AER,106(3),479-524,,,,,,,0,1.0,,,,,0
000249,"AER2016,high citation",20191031,,賴孚權,,"Chetty, Hendren and Katz","Raj Chetty, Nathaniel Hendren and Lawrence F. Katz",2016,The Effects of Exposure to Better Neighborhoods on Children: New Evidence from the Moving to Opportunity Experiment,American Economic Review,AER,106(4),855-902,,,,,,,0,1.0,,,,,0
000250,"AER2016,high citation",20191031,,賴孚權,,"Kelly, Lustig and Nieuwerburgh","Bryan Kelly, Hanno Lustig and Stijn Van Nieuwerburgh",2016,Too-Systemic-to-Fail: What Option Markets Imply about Sector-Wide Government Guarantees,American Economic Review,AER,106(6),1278-1319,,,,,,,0,1.0,,,,,0
000251,"AER2016,high citation",20191031,,賴孚權,,"Arcidiacono, Aucejo and Hotz","Peter Arcidiacono, Esteban M. Aucejo and V. Joseph Hotz",2016,University Differences in the Graduation of Minorities in STEM Fields: Evidence from California,American Economic Review,AER,106(3),525-62,,,,,,,0,1.0,,,,,0
000252,"AER2016,high citation",20191031,,賴孚權,,Serrato and Zidar,Juan Carlos Suárez Serrato and Owen Zidar,2016,Who Benefits from State Corporate Tax Cuts? A Local Labor Markets Approach with Heterogeneous Firms,American Economic Review,AER,106(9),2582-2624,,,,,,,0,1.0,,,,,0
000253,"AER2017,high citation",20191031,,賴孚權,,Shiller,Robert J. Shiller,2017,Narrative Economics,American Economic Review,AER,107(4),967-1004,,,,,,,0,1.0,,,,,0
000254,"AER2017,high citation",20191031,,賴孚權,,"Knoll, Schularick and Steger","Katharina Knoll, Moritz Schularick and Thomas Steger",2017,"No Price Like Home: Global House Prices, 1870-2012",American Economic Review,AER,107(2),331-53,,,,,,,0,1.0,,,,,0
000255,"AER2017,high citation",20191031,,賴孚權,,Li,Shengwu Li,2017,Obviously Strategy-Proof Mechanisms,American Economic Review,AER,107(11),3257-87,,,,,,,0,1.0,,,,,0
000256,"AER2017,high citation",20191031,,賴孚權,,Howell,Sabrina T. Howell,2017,Financing Innovation: Evidence from R&D Grants,American Economic Review,AER,107(4),1136-64,,,,,,,0,1.0,,,,,0
000257,"AER2017,high citation",20191031,,賴孚權,,Dix-Carneiro and K. Kovak,Rafael Dix-Carneiro and Brian K. Kovak,2017,Trade Liberalization and Regional Dynamics,American Economic Review,AER,107(10),2908-46,,,,,,,0,1.0,,,,,0
000258,"AER2017,high citation",20191031,,賴孚權,,Martin and Yurukoglu,Gregory J. Martin and Ali Yurukoglu,2017,Bias in Cable News: Persuasion and Polarization,American Economic Review,AER,107(9),2565-99,,,,,,,0,1.0,,,,,0
000259,"AER2017,high citation",20191031,,賴孚權陳為政,,Strausz,Roland Strausz,2017,A Theory of Crowdfunding: A Mechanism Design Approach with Demand Uncertainty and Moral Hazard,American Economic Review,AER,107(6),1430-76,,,,,,,0,1.0,,,,,0
000260,"AER2017,high citation",20191031,,賴孚權,,Zwick and Mahon,Eric Zwick and James Mahon,2017,Tax Policy and Heterogeneous Investment Behavior,American Economic Review,AER,107(1),217-48,,,,,,,0,1.0,,,,,0
000261,AER2018,20191031,,陳為政,,Acemoglu and Restrepo,Daron Acemoglu and Pascual Restrepo,2018,"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment",American Economic Review,AER,108(6),1488-1542,,,,,,,0,2.0,,,,,0
000262,AER2018,20191031,,陳為政,,Chatterjee and Vogl,Shoumitro Chatterjee and Tom Vogl,2018,Escaping Malthus: Economic Growth and Fertility Change in the Developing World,American Economic Review,AER,108(6),1440-67,,,,,,,0,1.0,,,,,0
000263,AER2018,20191031,,陳為政,,"Dobbie, Goldin and Yang","Will Dobbie, Jacob Goldin and Crystal S. Yang",2018,"The Effects of Pretrial Detention on Conviction, Future Crime, and Employment: Evidence from Randomly Assigned Judges",American Economic Review,AER,108(2),201-40,,,,,,,0,1.0,,,,,0
000264,AER2018,20191031,,陳為政,,Fryer Jr.,Roland G. Fryer Jr.,2018,"The ""Pupil"" Factory: Specialization and the Production of Human Capital in Schools",American Economic Review,AER,108(3),616-56,,,,,,,0,1.0,,,,,0
000265,"AER2018,high citation",20191031,,賴孚權,,Donaldson,Dave Donaldson,2018,Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,American Economic Review,AER,108(4-5),899-934,,,,,,,0,1.0,,,,,0
000266,"Excellent J 2019,high citation",20191031,,賴孚權陳為政,,"Bordalo, Coffman, Gennaioli and Shleifer","Pedro Bordalo, Katherine Coffman, Nicola Gennaioli and Andrei Shleifer",2019,Beliefs about Gender,American Economic Review,AER,109(3),739-73,,,,,,,0,1.0,,,,,0
000267,"Excellent J 2019,high citation",20191031,,賴孚權,,Naritomi,Joana Naritomi,2019,Consumers as Tax Auditors,American Economic Review,AER,109(9),3031-72,,,,,,,0,1.0,,,,,0
000268,"Excellent J 2019,high citation",20191031,,賴孚權陳為政,,"Abeler, Nosenzo, Raymond","Johannes Abeler, Daniele Nosenzo, Collin Raymond",2019,Preferences for Truth‐Telling,Econometrica,Econometrica,87(4),1115-1153,,,,,,,0,1.0,,,,,0
000269,"Excellent J 2019,high citation",20191031,,賴孚權陳為政,,"Acemoglu, Naidu, Restrepo and Robinson","Daron Acemoglu, Suresh Naidu, Pascual Restrepo, and James A. Robinson",2019,Democracy Does Cause Growth,Journal of Political Economy,JPE,127(1),47-100,,,,,,,0,1.0,,,,,0
000270,"Excellent J 2019,high citation",20191031,,賴孚權,,"Bernard, Blanchard, Beveren, Vandenbussche","Andrew B Bernard, Emily J Blanchard, Ilke Van Beveren, Hylke Vandenbussche",2019,Carry-Along Trade ,Review of Economic Studies,REStud,86(2),526–563,,,,,,,0,1.0,,,,,0
000271,"AER2016,high citation",20191101,,陳為政,,"Bustos, Caprettini and Ponticelli","Paula Bustos, Bruno Caprettini and Jacopo Ponticelli",2016,Agricultural Productivity and Structural Transformation: Evidence from Brazil,American Economic Review,AER,106(6),1320-65,,,,,,,0,1.0,,,,,0
000272,"AER2016,high citation",20191101,,陳為政,,"Garicano, Lelarge and Reenen","Luis Garicano, Claire Lelarge and John Van Reenen",2016,Firm Size Distortions and the Productivity Distribution: Evidence from France,American Economic Review,AER,106(11),3439-79,,,,,,,0,1.0,,,,,0
000273,"AER2016,high citation",20191101,,陳為政,,Galor and Özak,Oded Galor and Ömer Özak,2016,The Agricultural Origins of Time Preference,American Economic Review,AER,106(10),3064-3103,,,,,,,0,1.0,,,,,0
000274,"AER2016,high citation",20191101,,陳為政,,"Deming, Yuchtman, Abulafi, Goldin and Katz","David J. Deming, Noam Yuchtman, Amira Abulafi, Claudia Goldin and Lawrence F. Katz",2016,The Value of Postsecondary Credentials in the Labor Market: An Experimental Study,American Economic Review,AER,106(3),778-806,,,,,,,0,1.0,,,,,0
000275,"AER2017,high citation",20191101,,陳為政,,"Dang, Gorton, Holmström and Ordoñez","Tri Vi Dang, Gary Gorton, Bengt Holmström and Guillermo Ordoñez",2017,Banks as Secret Keepers,American Economic Review,AER,107(4),1005-29,,,,,,,0,1.0,,,,,0
000276,"AER2017,high citation",20191101,,陳為政,,Ely,Jeffrey C. Ely,2017,Beeps,American Economic Review,AER,107(1),31-53,,,,,,,0,1.0,,,,,0
000277,"AER2017,high citation",20191101,,陳為政,,Acemoglu and Restrepo,Daron Acemoglu and Pascual Restrepo,2017,Secular Stagnation? The Effect of Aging on Economic Growth in the Age of Automation,American Economic Review,AER,107(5),174-79,NEW TECHNOLOGIES AND THE LABOR MARKETS,,,,,,0,1.0,,,,,0
000278,"AER2018,high citation",20191101,,陳為政,,"Gneezy, Kajackaite and Sobel","Uri Gneezy, Agne Kajackaite and Joel Sobel",2018,Lying Aversion and the Size of the Lie,American Economic Review,AER,108(2),419-53,,,,,,,0,1.0,,,,,0
000279,"Excellent J 2019,high citation",20191101,,陳為政,,Lorenzoni and Werning,Guido Lorenzoni and Iván Werning,2019,Slow Moving Debt Crises,American Economic Review,AER,109(9),3229-63,,,,,,,0,1.0,,,,,0
000280,FC 20191101,20191101,,,,Lauga and Ofek,"Dominique Olié Lauga, Elie Ofek",2011,Product Positioning in a Two-Dimensional Vertical Differentiation Model The Role of Quality Costs,Marketing Science,MarketingSci,30(5),903-923,,0,product positioning; multiattribute products; differentiation; competitive strategy; game theory,Lauga and Ofek (2011)_Product Positioning in a Two-Dimensional Vertical Differentiation Model The Role of Quality Costs_Marketing Science 30(5) 903-923,,,0,0.0,,,,,0
000281,FC 20191101,20191101,,,,"Liu, Putler, Weinberg","Yong Liu, Daniel S. Putler, Charles B. Weinberg",2004,Is Having More Channels Really Better A Model of Competition Among Commercial Television Broadcasters,Marketing Science,MarketingSci,23(1),120-133,,0,"competition, competitive strategy, entertainment marketing, game theory, market structure, media, product policy","Liu, Putler, Weinberg (2004)_Is Having More Channels Really Better A Model of Competition Among Commercial Television Broadcasters_Marketing Science 23(1) 120-133",,,0,0.0,,,,,0
000282,"Excellent J 2019,high citation",20191101,,陳為政,,"Aghion, Akcigit, Bergeaud, Blundell, Hemous","Philippe Aghion, Ufuk Akcigit, Antonin Bergeaud, Richard Blundell, David Hemous",2019,Innovation and Top Income Inequality ,Review of Economic Studies,REStud,86(1),1–45,,,,,,,0,1.0,,,,,0
000283,FC 20191111,20191111,,,,Abdulkadiroğlu and Sönmez,Atila Abdulkadiroğlu and Tayfun Sönmez,2003,School Choice A Mechanism Design Approach,American Economic Review,AER,93(3),729-747,,,,,,,0,1.0,,,,,0
000284,FC 20191114,20191114,,賴孚權,,"Lin, Liu and Qian","Ming-Jen Lin, Jin-Tan Liu and Nancy Qian",2014,"More Missing Women, Fewer Dying Girls: The Impact of Sex-Selective Abortion on Sex at Birth and Relative Female Mortality in TAIWAN",Journal of the European Economic Association,JEurEAssoc,12(4),899-926,,"J13, J16",,"Lin, Liu and Qian (2014)_More Missing Women, Fewer Dying Girls_Journal of the European Economic Association 12(4), 899-926",,,0,0.0,,,,,0
000285,JEPerspectives2016-2018,20191115,,賴孚權,,Bernhofen and Brown,Daniel M. Bernhofen and John C. Brown,2018,Retrospectives: On the Genius Behind David Ricardo's 1817 Formulation of Comparative Advantage,Journal of Economic Perspectives,JEPerspectives,32(4),227-40,Features,,,,,,0,0.0,,,,,0
000286,JEPerspectives2016-2018,20191115,,賴孚權,,Kaplan and Schulhofer-Wohl,Greg Kaplan and Sam Schulhofer-Wohl,2018,The Changing (Dis-)utility of Work,Journal of Economic Perspectives,JEPerspectives,32(3),239-58,Incentives In The Workplace,,,,,,0,0.0,,,,,0
000287,JEPerspectives2016-2018,20191115,,賴孚權,,"Bailey, Cao, Kuchler,Stroebel and Wong","Michael Bailey, Rachel Cao, Theresa Kuchler, Johannes Stroebel and Arlene Wong",2018,"Social Connectedness: Measurement, Determinants, and Effects",Journal of Economic Perspectives,JEPerspectives,32(3),259-80,Articles,,,,,,0,0.0,,,,,0
000288,JEPerspectives2016-2018,20191115,,賴孚權,,"Fort,  Pierce and Schott","Teresa C. Fort, Justin R. Pierce and Peter K. Schott",2018,New Perspectives on the Decline of US Manufacturing Employment,Journal of Economic Perspectives,JEPerspectives,32(2),47-72,Does the us really gain from trade?,,,,,,0,0.0,,,,,0
000289,JEPerspectives2016-2018,20191115,,賴孚權,,Rodrik,Dani Rodrik,2018,What Do Trade Agreements Really Do?,Journal of Economic Perspectives,JEPerspectives,32(2),73-90,Does the us really gain from trade?,,,,,,0,0.0,,,,,0
000290,JEPerspectives2016-2018,20191115,,賴孚權,,Acemoglu,Daron Acemoglu,2018,Dave Donaldson: Winner of the 2017 Clark Medal,Journal of Economic Perspectives,JEPerspectives,32(2),193-208,Articles,,,,,,0,0.0,,,,,0
000291,JEPerspectives2016-2018,20191115,,賴孚權,,Goodman and Mayer,Laurie S. Goodman and Christopher Mayer,2018,Homeownership and the American Dream,Journal of Economic Perspectives,JEPerspectives,32(1),31-58,Housing,,,,,,0,0.0,,,,,0
000292,JEPerspectives2016-2018,20191115,,賴孚權,,Metcalf,Gabriel Metcalf,2018,Sand Castles before the Tide? Affordable Housing in Expensive Cities,Journal of Economic Perspectives,JEPerspectives,32(1),59-80,Housing,,,,,,0,0.0,,,,,0
000293,JEPerspectives2016-2018,20191115,,賴孚權,,"Brogaard, Engelberg and Wesep","Jonathan Brogaard, Joseph Engelberg and Edward Van Wesep",2018,Do Economists Swing for the Fences after Tenure?,Journal of Economic Perspectives,JEPerspectives,32(1),179-94,Articles,,,,,,0,0.0,,,,,0
000294,JEPerspectives2016-2018,20191115,,賴孚權,,Geruso and Layton,Michael Geruso and Timothy J. Layton,2017,Selection in Health Insurance Markets and Its Policy Remedies,Journal of Economic Perspectives,JEPerspectives,31(4),23-50,Health Insurance And Choice,,,,,,0,0.0,,,,,0
000295,JEPerspectives2016-2018,20191115,,賴孚權,,Muralidharan and Niehaus,Karthik Muralidharan and Paul Niehaus,2017,Experimentation at Scale,Journal of Economic Perspectives,JEPerspectives,31(4),103-24,From Experiments To Economic Policy,,,,,,0,0.0,,,,,0
000296,JEPerspectives2016-2018,20191115,,賴孚權,,Sampson,Thomas Sampson,2017,Brexit: The Economics of International Disintegration,Journal of Economic Perspectives,JEPerspectives,31(4),163-84,Articles,,,,,,0,0.0,,,,,0
000297,JEPerspectives2016-2018,20191115,,賴孚權,,Waldfogel,Joel Waldfogel,2017,"How Digitization Has Created a Golden Age of Music, Movies, Books, and Television",Journal of Economic Perspectives,JEPerspectives,31(3),195-214,Articles,,,,,,0,0.0,,,,,0
000298,JEPerspectives2016-2018,20191115,,賴孚權,,"Groshen, Moyer, Aizcorbe, Bradley and Friedman","Erica L. Groshen, Brian C. Moyer, Ana M. Aizcorbe, Ralph Bradley and David M. Friedman",2017,How Government Statistics Adjust for Potential Biases from Quality Change and New Goods in an Age of Digital Technologies: A View from the Trenches,Journal of Economic Perspectives,JEPerspectives,31(2),187-210,Are measures of economic growth biased?,,,,,,0,0.0,,,,,0
000299,JEPerspectives2016-2018,20191115,,賴孚權,,Allcott and Gentzkow,Hunt Allcott and Matthew Gentzkow,2017,Social Media and Fake News in the 2016 Election,Journal of Economic Perspectives,JEPerspectives,31(2),211-36,Articles,,,,,,0,0.0,,,,,0
000300,JEPerspectives2016-2018,20191115,,賴孚權,,"Berk, Harvey and Hirshleifer","Jonathan B. Berk, Campbell R. Harvey and David Hirshleifer",2017,How to Write an Effective Referee Report and Improve the Scientific Review Process,Journal of Economic Perspectives,JEPerspectives,31(1),231-44,Articles,,,,,,0,0.0,,,,,0
000301,JEPerspectives2016-2018,20191115,,賴孚權,,"Kerr,  Kerr, Özden and Parsons","Sari Pekkala Kerr, William Kerr, Çağlar Özden and Christopher Parsons",2016,Global Talent Flows,Journal of Economic Perspectives,JEPerspectives,30(4),83-106,Immigration and Labor Markets,,,,,,0,0.0,,,,,0
000302,JEPerspectives2016-2018,20191115,,賴孚權,,Samuelson,Larry Samuelson,2016,Game Theory in Economics and Beyond,Journal of Economic Perspectives,JEPerspectives,30(4),107-30,What is happening in game theory?,,,,,,0,0.0,,,,,0
000303,JEPerspectives2016-2018,20191115,,賴孚權,,Woessmann,Ludger Woessmann,2016,The Importance of School Systems: Evidence from International Differences in Student Achievement,Journal of Economic Perspectives,JEPerspectives,30(3),3-32,Schools and Accountability,,,,,,0,0.0,,,,,0
000304,JEPerspectives2016-2018,20191115,,賴孚權,,"Bauer, Blattman, Chytilová, Henrich, Miguel and Mitts","Michal Bauer, Christopher Blattman, Julie Chytilová, Joseph Henrich, Edward Miguel and Tamar Mitts",2016,Can War Foster Cooperation?,Journal of Economic Perspectives,JEPerspectives,30(3),249-74,Articles,,,,,,0,0.0,,,,,0
000305,JEPerspectives2016-2018,20191115,,賴孚權,,Lofstrom and Raphael,Magnus Lofstrom and Steven Raphael,2016,"Crime, the Criminal Justice System, and Socioeconomic Inequality",Journal of Economic Perspectives,JEPerspectives,30(2),103-26,Inequality Beyond Income,,,,,,0,0.0,,,,,0
000306,JEPerspectives2016-2018,20191115,,賴孚權,,"Greenstein, Peitz and Valletti","Shane Greenstein, Martin Peitz and Tommaso Valletti",2016,Net Neutrality: A Fast Lane to Understanding the Trade-Offs,Journal of Economic Perspectives,JEPerspectives,30(2),127-50,Articles,,,,,,0,0.0,,,,,0
000307,JEPerspectives2016-2018,20191115,,賴孚權,,Cavallo and Rigobon,Alberto Cavallo and Roberto Rigobon,2016,The Billion Prices Project: Using Online Prices for Measurement and Research,Journal of Economic Perspectives,JEPerspectives,30(2),151-78,Articles,,,,,,0,0.0,,,,,0
000308,JEPerspectives2016-2018,20191115,,賴孚權,,Gabaix,Xavier Gabaix,2016,Power Laws in Economics: An Introduction,Journal of Economic Perspectives,JEPerspectives,30(1),185-206,Articles,,,,,,0,0.0,,,,,0
000309,FC 20191119,20191119,,賴孚權,,Krugman,Paul Krugman,1998,What's new about the new economic geography,Oxford Review of Economic Policy,OxfordREPolicy,14(2),7-17,,0,0,,,,0,1.0,,,,,0
000310,FC 20191129,20191129,,賴孚權,,Proost and Thisse,"Proost, Stef, and Jacques-François Thisse",2019,What Can Be Learned from Spatial Economics?,Journal of Economic Literature,JEL,57(3),575-643,Articles,,,,,,0,0.0,,,,,0
